,Zone,State,City,Name,Type,Significance,Entrance Fee in INR,Google review rating,Weekly Off,Best DayTime to visit
0,Northern,Delhi,Delhi,India Gate,War Memorial,Historical,0,4.6,None,Evening
1,Northern,Delhi,Delhi,Humayun's Tomb,Monument,Historical,30,4.5,None,Afternoon
2,Northern,Delhi,Delhi,Akshardham Temple,Temple,Religious,60,4.6,None,Afternoon
3,Northern,Delhi,Delhi,Waste to Wonder Park,Amusement Park,Recreational,50,4.1,Monday,Evening
4,Northern,Delhi,Delhi,Jantar Mantar,Archaeological Site,Archaeological,15,4.2,None,Morning
5,Northern,Delhi,Delhi,Chandni Chowk,Market,Cultural,0,4.2,Sunday,Afternoon
6,Northern,Delhi,Delhi,Lotus Temple,Temple,Religious,0,4.5,Monday,Evening
7,Northern,Delhi,Delhi,Red Fort,Fort,Historical,35,4.5,None,Afternoon
8,Northern,Delhi,Delhi,Agrasen ki Baoli,Archaeological Site,Historical,0,4.2,None,Afternoon
9,Northern,Delhi,Delhi,Sunder Nursery,Garden,Environmental,0,4.6,None,Afternoon
10,Northern,Delhi,Delhi,Garden of Five Senses,Garden,Recreational,35,4.1,None,Morning
11,Northern,Delhi,Delhi,Lodhi Garden,Garden,Historical,0,4.5,None,All
12,Northern,Delhi,Delhi,National Gallery of Modern Art,Museum,Educational,20,4.5,Monday,All
13,Northern,Delhi,Delhi,National Zoological Park ,Zoo,Recreational,80,4.1,Friday,All
14,Northern,Delhi,Delhi,Qutub Minar,Monument,Historical,35,4.5,None,Afternoon
15,Northern,Delhi,Delhi,National Science Centre,Museum,Educational,70,4.4,None,All
16,Western,Maharastra,Mumbai,Marine Drive,Beach,Recreational,0,4.5,None,Evening
17,Western,Maharastra,Mumbai,Gateway of India,Monument,Historical,0,4.6,None,All
18,Western,Maharastra,Mumbai,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Museum,Cultural,500,4.6,None,All
19,Western,Maharastra,Mumbai,Sanjay Gandhi National Park,Natural Park,Environmental,50,4.3,Monday,All
20,Western,Maharastra,Mumbai,Siddhivinayak Temple,Temple,Religious,0,4.8,None,All
21,Western,Maharastra,Mumbai,Mahalaxmi Temple,Temple,Religious,0,4.7,None,All
22,Western,Maharastra,Mumbai,Haji Ali Dargah,Mosque,Religious,0,4.4,None,All
23,Western,Maharastra,Mumbai,Chowpatty Beach,Beach,Recreational,0,4.3,None,Evening
24,Western,Maharastra,Mumbai,Essel World,Amusement Park,Recreational,1149,4.3,None,All
25,Western,Maharastra,Mumbai,Elephanta Caves,Archaeological Site,Archaeological,550,4.3,None,All 
26,Western,Maharastra,Lonavala,Imagicaa,Amusement Park,Recreational,1149,1.4,Monday,All
27,Southern,Karnataka,Bangalore,Bangalore Palace,Palace,Historical,500,4.2,Monday,Morning
28,Southern,Karnataka,Bangalore,Lalbagh Botanical Garden,Garden,Environmental,20,4.4,None,Evening
29,Southern,Karnataka,Bangalore,Cubbon Park,Garden,Recreational,0,4.4,None,Morning
30,Southern,Karnataka,Bangalore,Vidhana Soudha,Historic Building,Political,0,4.6,None,Morning
31,Southern,Karnataka,Bangalore,ISKCON Temple Bangalore,Temple,Religious,0,4.6,None,Evening
32,Southern,Telangana,Hyderabad,Charminar,Monument,Historical,25,4.5,Friday,Morning
33,Southern,Telangana,Hyderabad,Golconda Fort,Fort,Historical,30,4.4,None,Morning
34,Southern,Telangana,Hyderabad,Hussain Sagar Lake,Lake,Recreational,0,4.3,None,Evening
35,Southern,Telangana,Hyderabad,Ramoji Film City,Amusement Park,Recreational,1150,4.4,None,All
36,Southern,Telangana,Hyderabad,Salar Jung Museum,Museum,Cultural,20,4.4,None,All
37,Southern,Telangana,Hyderabad,Qutb Shahi Tombs,Monument,Historical,25,4.4,None,Morning
38,Southern,Telangana,Hyderabad,Birla Mandir,Temple,Religious,0,4.7,None,All
39,Southern,Telangana,Hyderabad,Chowmahalla Palace,Palace,Historical,80,4.4,None,Morning
40,Southern,Telangana,Hyderabad,Nehru Zoological Park,Zoo,Recreational,50,4.2,None,Morning
41,Southern,Telangana,Hyderabad,Lumbini Park,Garden,Recreational,20,4.1,None,Evening
42,Eastern,West Bengal,Kolkata,Victoria Memorial,Monument,Historical,30,4.6,Monday,Morning
43,Eastern,West Bengal,Kolkata,Howrah Bridge,Bridge,Architectural,0,4.6,None,Anytime
44,Eastern,West Bengal,Kolkata,Indian Museum,Museum,Educational,50,4.6,Monday,Morning
45,Eastern,West Bengal,Kolkata,Dakshineswar Kali Temple,Temple,Religious,0,4.7,None,Morning
46,Eastern,West Bengal,Kolkata,Kalighat Kali Temple,Temple,Religious,0,4.4,None,Morning
47,Eastern,West Bengal,Kolkata,Eden Gardens,Historic Building,Cultural,2500,4.1,None,All
48,Eastern,West Bengal,Kolkata,Alipore Zoological Gardens,Zoo,Recreational,25,4.3,None,Afternoon
49,Eastern,West Bengal,Kolkata,Science City Kolkata,Museum,Educational,60,4.4,None,All
50,Eastern,West Bengal,Kolkata,Belur Math,Temple,Religious,0,4.7,None,Morning
51,Eastern,West Bengal,Kolkata,Marble Palace,Palace,Historical,0,4.4,None,Afternoon
52,Southern,Goa,Goa,Calangute Beach,Beach,Recreational,0,4.4,None,Evening
53,Southern,Goa,Goa,Basilica of Bom Jesus,Church,Religious,0,4.5,None,Afternoon
54,Southern,Goa,Goa,Fort Aguada,Fort,Historical,0,4.2,None,Morning
55,Southern,Goa,Goa,Dudhsagar Falls,Waterfall,Environmental,500,4.6,None,Afternoon
56,Southern,Goa,Goa,Anjuna Beach,Beach,Recreational,0,4.4,None,Evening
57,Southern,Goa,Goa,Chapora Fort,Fort,Historical,0,4.2,None,Evening
58,Southern,Goa,Goa,Se Cathedral,Church,Religious,0,4.5,None,Afternoon
59,Southern,Goa,Goa,Baga Beach,Beach,Recreational,0,4.5,None,Evening
60,Southern,Goa,Goa,Arambol Beach,Beach,Recreational,0,4.6,None,Evening
61,Southern,Goa,Goa,Palolem Beach,Beach,Recreational,0,4.6,None,Evening
62,Southern,Goa,Goa,Colva Beach,Beach,Recreational,0,4.3,None,Evening
63,Southern,Goa,Goa,Miramar Beach,Beach,Recreational,0,4.2,None,Evening
64,Southern,Goa,Goa,Aguada Beach,Beach,Recreational,0,4.5,None,Evening
65,Southern,Goa,Goa,Dr. Salim Ali Bird Santuary,Natural Park,Environmental,10,3.9,None,Afternoon
66,Western,Gujarat,Ahmedabad,Sabarmati Ashram,Historic Building,Historical,0,4.6,None,Morning
67,Western,Gujarat,Dwarka,Dwarkadhish Temple,Temple,Religious,0,4.7,None,Evening
68,Western,Gujarat,Junagadh,Gir National Park,Natural Park,Environmental,3500,4.5,None,Morning
69,Western,Gujarat,Bhuj,White Desert,Natural Park,Environmental,0,4.6,None,Evening
70,Western,Gujarat,Vadodara,Laxmi Vilas Palace,Palace,Historical,200,4.4,Monday,Afternoon
71,Western,Gujarat,Somnath,Somnath Temple,Temple,Religious,0,4.8,None,Morning
72,Western,Gujarat,Rann of Kutch,Rann Utsav,Market,Cultural,7500,4.9,None,Evening
73,Western,Gujarat,Kevadia,Statue of Unity,Monument,Historical,350,4.6,Monday,All
74,Western,Gujarat,Gandhinagar,Dandi Kutir,Museum,Historical,0,4.5,None,All
75,Western,Gujarat,Ahmedabad,Sabarmati Riverfront,Garden,Recreational,0,4.6,None,Evening
76,Western,Gujarat,Ahmedabad,Manek Chowk,Market,Cultural,0,4.4,None,Night
77,Western,Gujarat,Ahmedabad,Kankaria Lake,Lake,Recreational,10,4.5,None,Afternoon
78,Western,Gujarat,Ahmedabad,Science City,Museum,Educational,500,4.4,Monday,All
79,Northern,Rajasthan,Jaipur,Hawa Mahal,Monument,Architectural,50,4.4,None,Morning
80,Northern,Rajasthan,Udaipur,City Palace,Palace,Historical,300,4.4,None,All
81,Northern,Rajasthan,Jaisalmer,Jaisalmer Fort,Fort,Historical,50,4.4,None,All
82,Northern,Rajasthan,Sawai Madhopur,Ranthambore National Park,Natural Park,Environmental,500,4.6,None,All
83,Northern,Rajasthan,Pushkar,Pushkar Lake,Lake,Religious,0,4.4,None,All
84,Northern,Rajasthan,Ajmer,Ajmer Sharif Dargah,Mosque,Religious,0,4.6,None,All
85,Northern,Rajasthan,Jodhpur,Mehrangarh Fort,Fort,Historical,100,4.6,None,All
86,Northern,Rajasthan,Chittorgarh,Chittorgarh Fort,Fort,Historical,40,4.6,None,All
87,Northern,Rajasthan,Mount Abu,Dilwara Temples,Temple,Religious,0,4.6,None,All
88,Northern,Rajasthan,Bikaner,Junagarh Fort,Fort,Historical,50,4.5,None,All
89,Northern,Rajasthan,Jaipur,Amber Fort,Fort,Historical,100,4.6,None,All
90,Northern,Rajasthan,Jaipur,Jaigarh Fort,Fort,Historical,35,4.5,None,All
91,Northern,Rajasthan,Udaipur,Lake Pichola,Lake,Recreational,0,4.6,None,All
92,Northern,Punjab,Amritsar,Golden Temple (Harmandir Sahib),Temple,Religious,0,4.9,None,All
93,Northern,Punjab,Amritsar,Jallianwala Bagh,Monument,Historical,0,4.8,None,Afternoon
94,Northern,Punjab,Amritsar,Wagah Border,Monument,Historical,0,4.8,None,Evening
95,Northern,Punjab,Chandigarh,Rock Garden,Garden,Cultural,30,4.5,None,All
96,Southern,Kerala,Alappuzha,Alappuzha Beach,Beach,Recreational,0,4.5,None,All
97,Southern,Kerala,Munnar,Munnar Tea Gardens,Garden,Environmental,0,4.3,None,All
98,Southern,Kerala,Kochi,Fort Kochi,Fort,Historical,0,4.4,None,All
99,Southern,Kerala,Thiruvananthapuram,Padmanabhaswamy Temple,Temple,Religious,0,4.7,None,All
100,Southern,Kerala,Kozhikode,Kozhikode Beach,Beach,Recreational,0,3.9,None,All
101,Southern,Kerala,Wayanad,Wayanad Wildlife Sanctuary,Natural Park,Environmental,300,4.5,None,All
102,Southern,Kerala,Thekkady,Periyar National Park,Natural Park,Environmental,50,4.3,None,All
103,Southern,Kerala,Kumarakom,Kumarakom Bird Sanctuary,Natural Park,Environmental,50,3.8,None,All
104,Southern,Kerala,Varkala,Varkala Beach,Beach,Recreational,0,4.6,None,All
105,Southern,Kerala,Bekal,Bekal Fort,Fort,Historical,20,4.5,None,All
106,Southern,Kerala,Kovalam,Kovalam Beach,Beach,Recreational,0,4.4,None,All
107,Southern,Kerala,Kannur,St. Angelo Fort,Fort,Historical,20,4.4,None,All
108,Southern,Kerala,Nelliyampathy,Seethargundu Viewpoint,Mountain,Environmental,0,4.5,None,Morning
109,Southern,Kerala,Kochi,Kerala Folklore Museum,Museum,Cultural,100,4.4,Monday,All
110,Southern,Kerala,Kochi,Wonderla Amusement Park,Amusement Park,Recreational,750,4.6,None,All
111,Southern,Karnataka,Mysore,Mysore Palace,Palace,Historical,50,4.6,None,All
112,Southern,Karnataka,Hampi,Hampi Archaeological Ruins,Archaeological Site,Archaeological,0,4.7,None,All
113,Southern,Karnataka,Coorg,Abbey Falls,Waterfall,Environmental,0,4.1,None,Morning
114,Southern,Karnataka,Gokarna,Om Beach,Beach,Recreational,0,4.5,None,All
115,Southern,Karnataka,Chikmagalur,Mullayanagiri,Mountain,Environmental,0,4.5,None,All
116,Southern,Karnataka,Badami,Badami Cave Temples,Archaeological Site,Archaeological,30,4.6,None,All
117,Southern,Karnataka,Shivamogga,Jog Falls,Waterfall,Environmental,30,4.6,None,Morning
118,Southern,Karnataka,Mangalore,Panambur Beach,Beach,Recreational,0,4.5,None,All
119,Southern,Karnataka,Murudeshwar,Murudeshwar Temple,Temple,Religious,0,4.7,None,All
120,Southern,Karnataka,Bijapur,Gol Gumbaz,Monument,Architectural,20,4.5,None,All
121,Southern,Karnataka,Bandipur,Bandipur National Park,Natural Park,Environmental,300,4.4,None,Morning
122,Southern,Karnataka,Halebidu,Halebidu Hoysaleswara Temple,Temple,Religious,15,4.7,None,All
123,Western,Maharastra,Pune,Shaniwar Wada,Fort,Historical,50,4.4,None,All
124,Western,Maharastra,Aurangabad,Ajanta Caves,Archaeological Site,Archaeological,30,4.6,Monday,Afternoon
125,Western,Maharastra,Nashik,Sula Vineyards,Garden,Recreational,300,4.1,None,Afternoon
126,Western,Maharastra,Shirdi,Sai Baba Temple,Temple,Religious,0,4.7,None,All
127,Western,Maharastra,Alibaug,Alibaug Beach,Beach,Recreational,0,4.2,None,Evening
128,Western,Maharastra,Ratnagiri,Ganapatipule Temple,Temple,Religious,0,4.7,None,All
129,Western,Maharastra,Nagpur,Deekshabhoomi,Monument,Cultural,0,4.5,None,Afternoon
130,Western,Maharastra,Kolhapur,Mahalakshmi Temple,Temple,Religious,0,4.8,None,All
131,Western,Maharastra,Lonavala,Karla Caves,Archaeological Site,Archaeological,25,4.4,Yes,Afternoon
132,Western,Maharashtra,Tarkarli,Tarkarli Beach,Beach,Recreational,0,4.6,None,Evening
133,Western,Maharashtra,Satara,Kaas Plateau,Natural Park,Environmental,300,4.4,None,Afternoon
134,Western,Maharashtra,Matheran,Echo Point,Mountain,Environmental,0,4.4,None,Morning
135,Western,Maharashtra,Ajanta,Ellora Caves,Archaeological Site,Archaeological,30,4.7,Tuesday,Afternoon
136,Central,Madhya Pradesh,Khajuraho,Khajuraho Group of Monuments,Monument,Architectural,40,4.7,None,Afternoon
137,Central,Madhya Pradesh,Bhopal,Sanchi Stupa,Monument,Religious,30,4.7,None,Afternoon
